阿,6375
啊,0943
哎,5378
哀,7817
唉,5921
埃,8373
挨,6281
癌,6687
矮,7418
艾,5370
爱,7641
碍,3897
安,0348
氨,4904
俺,8250
岸,7225
按,9806
案,0340
暗,3875
昂,9481
凹,1973
熬,8795
傲,4709
奥,1579
澳,5501
八,4582
巴,4758
叭,7865
吧,9387
拔,4611
把,2966
坝,5297
爸,8869
罢,5489
霸,0809
白,2111
百,0233
柏,4381
摆,2319
败,0900
拜,0279
班,7524
般,0417
颁,1207
斑,9241
搬,0973
板,1329
版,2983
办,2771
半,7484
伴,1995
扮,8259
瓣,2605
邦,6823
帮,7067
膀,1309
傍,2194
棒,6035
包,7488
胞,2999
宝,0575
饱,2542
保,0927
堡,7593
报,0492
抱,0561
豹,1150
暴,2520
爆,6177
卑,4721
杯,3384
悲,9217
碑,4988
北,6368
贝,9257
备,4803
背,5416
倍,3896
被,2502
辈,8631
奔,8778
本,8384
崩,9614
逼,9074
鼻,9000
比,7948
彼,6988
笔,4872
币,5176
必,2523
毕,8449
闭,7626
辟,4316
碧,0120
蔽,9631
壁,6510
避,7403
臂,1521
边,4553
编,2674
蝙,3891
鞭,9028
扁,8758
便,8849
变,2020
遍,6263
辨,5017
辩,8068
标,4934
表,5659
别,0826
宾,8020
滨,1224
冰,1984
兵,3291
丙,2442
柄,7239
饼,1028
并,4816
病,5330
拨,7010
波,8212
玻,5446
剥,8749
播,7062
脖,2504
伯,4179
驳,9830
泊,6887
勃,6017
博,5442
搏,4475
膊,1800
薄,8933
卜,8554
补,7313
捕,6617
不,4653
布,4393
步,6511
部,4600
擦,2469
猜,9536
才,9076
材,3917
财,7480
裁,3661
采,7563
彩,3308
踩,3908
菜,4087
蔡,2608
参,9258
餐,2663
残,5784
蚕,0771
惨,3764
灿,0722
仓,7254
苍,2635
舱,6270
藏,0090
操,0173
曹,5843
槽,2101
草,5375
册,1047
侧,3232
测,1495
策,6918
层,5936
叉,2860
插,2692
查,7548
茶,1215
察,6935
差,7916
拆,1121
柴,3547
缠,8797
产,8031
阐,8209
颤,7501
昌,1913
长,6386
肠,4047
尝,6252
偿,7882
常,1142
厂,1488
场,3685
畅,2880
倡,9835
唱,0039
抄,7110
超,7337
巢,6724
朝,7275
潮,6274
吵,8637
炒,5601
车,8058
扯,6284
彻,6700
撤,0619
尘,4325
臣,4797
沉,2854
陈,4592
闯,6883
衬,6422
称,4020
趁,8493
撑,4640
成,3174
呈,5364
承,9121
诚,2895
城,3113
乘,1326
惩,0434
程,1442
橙,9595
吃,4953
池,6982
驰,6996
迟,5514
持,9584
匙,7942
尺,1914
齿,6733
斥,5441
赤,8827
翅,0327
充,5618
冲,1362
虫,7784
崇,1981
抽,6364
仇,5347
绸,1593
愁,7347
筹,0155
酬,4658
丑,3317
瞅,7737
臭,3581
出,0835
初,6376
除,2776
厨,4566
础,0565
储,5849
楚,6517
处,3309
触,0803
川,0421
穿,0580
传,8620
船,6826
喘,0399
串,2736
窗,7204
床,0996
晨,6182
创,3434
吹,0965
垂,1633
锤,6940
春,7695
纯,0581
唇,4605
醇,5652
词,9297
瓷,8945
慈,0845
辞,2824
磁,1544
雌,6202
此,5187
次,5270
刺,0211
从,3967
匆,4323
葱,7425
聪,6417
丛,6601
凑,1352
粗,9122
促,6037
催,5733
脆,8820
翠,5391
村,1527
存,4469
寸,7846
措,3551
错,3092
搭,7178
达,5664
答,1838
打,0455
大,7725
呆,5095
代,1349
带,5231
待,6349
袋,2793
逮,7839
戴,0550
丹,3509
单,0724
担,2065
胆,4699
旦,4126
但,6426
诞,7011
弹,7973
淡,9619
蛋,7934
氮,1944
当,8208
挡,4370
党,3115
荡,8857
刀,5633
导,4313
岛,2785
倒,9520
蹈,6005
到,2702
盗,7233
道,4449
稻,0542
得,6443
德,1144
的,6674
灯,7522
登,8710
等,8630
邓,0868
凳,2070
瞪,4944
低,5779
堤,9988
滴,6749
迪,4750
敌,5898
笛,8187
底,4352
抵,0640
地,0024
弟,7653
帝,3792
递,8835
第,4830
颠,9418
典,8396
点,6706
电,0141
店,0985
垫,9581
淀,5773
殿,6411
雕,5707
吊,5314
钓,2068
调,3446
掉,1218
爹,5916
跌,5972
叠,2831
蝶,4643
丁,7299
叮,8767
盯,5957
钉,2321
顶,8338
订,2540
定,5583
丢,2217
东,7185
冬,6460
懂,3244
动,2257
冻,1577
洞,8935
都,8546
斗,2081
抖,3696
陡,2874
豆,0414
督,6928
毒,0422
读,9483
独,9309
堵,1042
赌,7285
杜,3456
肚,9922
度,2250
渡,4524
端,1614
短,8172
段,2875
断,2262
锻,3118
堆,8881
队,4045
对,5160
吨,9146
敦,2592
蹲,8145
盾,7797
顿,7273
多,2609
夺,7584
朵,0511
躲,0106
俄,8057
鹅,8219
额,0117
恶,2047
饿,3468
鳄,9552
恩,7667
儿,2527
而,1906
尔,3412
耳,3555
二,5522
发,8234
乏,7601
伐,4249
罚,1387
阀,1588
法,2755
帆,3702
番,9662
翻,3167
凡,4712
烦,9063
繁,7288
反,4003
返,6168
犯,4257
泛,3607
饭,9099
范,5811
贩,3827
方,4128
坊,5183
芳,7726
防,5070
妨,1448
房,1029
肪,6105
仿,4445
访,7061
纺,0742
放,8998
飞,2993
非,1421
啡,8344
菲,1707
肥,3572
废,8573
沸,6384
肺,8526
费,3878
分,6728
纷,3997
芬,4835
坟,3461
粉,1382
份,6318
奋,4176
愤,3649
粪,4549
丰,5894
风,8981
枫,7060
封,1778
疯,7847
峰,3081
锋,4220
蜂,9599
冯,7238
逢,6429
缝,3631
凤,5550
奉,4852
佛,5626
否,3604
夫,1506
肤,4168
孵,1489
弗,7930
伏,7217
扶,7220
服,5285
浮,3227
符,4377
幅,5511
福,4724
辐,9420
蝠,2386
抚,5584
府,3277
辅,1461
腐,5059
父,4863
付,9892
妇,6201
负,1882
附,9628
复,2303
赴,8837
副,6421
傅,5616
富,1171
赋,9155
腹,4987
覆,5705
该,8147
改,6092
钙,7616
盖,8923
溉,8709
概,0081
干,2819
甘,0315
杆,4955
肝,1624
赶,9145
敢,3871
感,9677
刚,5649
岗,3224
纲,4555
缸,8942
钢,7553
港,1695
高,1945
搞,3162
稿,0476
告,8518
戈,8582
哥,8038
胳,4885
鸽,3657
割,9117
歌,0894
阁,8859
革,6347
格,8717
葛,4823
隔,6818
个,8957
各,8372
给,9038
根,8475
跟,4463
更,7032
耕,6273
工,0311
弓,3195
公,2737
功,2487
攻,4891
供,9608
宫,7423
恭,8101
巩,2293
拱,5637
共,3726
贡,6603
勾,5204
沟,3796
钩,9900
狗,8614
构,8642
购,7594
够,7004
估,7673
咕,0297
姑,1620
孤,8955
菇,4139
古,2678
谷,8600
股,5502
骨,3621
鼓,7361
固,2790
故,9132
顾,1722
瓜,5781
刮,8241
挂,3963
拐,3442
怪,6930
关,7271
观,5147
官,7160
冠,3514
馆,4127
管,1140
贯,7831
惯,1363
灌,4268
罐,6461
光,0109
广,0740
归,6931
龟,8261
规,1576
硅,6543
轨,3517
鬼,3046
柜,8013
贵,0653
桂,9674
滚,1425
棍,0070
郭,0275
锅,8823
国,9319
果,6884
裹,5628
过,4700
哈,8211
孩,1524
海,8914
害,4731
含,9934
函,6470
寒,4756
韩,1941
罕,5469
喊,7914
汉,4299
汗,9999
旱,9312
杭,4292
航,8170
毫,8413
豪,8416
好,3444
号,0491
浩,3363
耗,2958
呵,3197
喝,2094
合,1414
何,8158
和,5758
河,6111
核,3714
荷,4059
盒,0047
贺,2062
褐,8759
赫,4770
鹤,7018
黑,3503
嘿,6113
痕,6070
很,1098
狠,1952
恨,9853
哼,2723
恒,5765
横,9234
衡,4580
轰,8432
哄,6478
红,8305
宏,4531
洪,2304
虹,1039
鸿,2315
侯,8847
喉,6540
猴,3911
吼,4491
后,3942
厚,5530
候,7702
乎,4155
呼,8477
忽,7130
狐,2291
胡,8177
壶,3056
湖,3642
葫,1674
糊,5126
蝴,3413
虎,8806
互,6194
户,6431
护,8225
花,1555
华,7772
哗,7020
滑,8071
化,7387
划,1492
画,2292
话,1766
桦,0104
怀,8288
淮,3903
坏,2956
欢,0474
还,3865
环,1987
缓,2693
幻,7340
唤,0642
换,6061
患,3927
荒,2679
慌,6486
皇,6425
黄,9864
煌,8971
晃,0500
灰,6959
恢,8249
挥,9225
辉,6842
徽,7019
回,9949
毁,5938
悔,4784
汇,5698
会,3513
绘,1877
惠,2987
慧,7987
昏,8203
婚,3900
浑,1451
魂,2119
混,6751
活,1966
火,6480
伙,5655
或,5343
货,0478
获,4083
祸,1073
惑,7983
霍,1356
击,3721
饥,1806
圾,7445
机,5704
肌,9282
鸡,2396
积,5554
基,8702
迹,5770
绩,6983
激,5932
及,9664
吉,0157
级,0769
即,1612
极,0628
急,0244
疾,2846
集,6896
辑,0221
籍,1628
几,8312
己,9021
挤,8741
脊,2871
计,0998
记,5275
纪,3334
忌,8569
技,8069
际,9847
剂,5598
季,7970
既,4056
济,3141
继,3178
寂,6978
寄,9653
加,0471
夹,7345
佳,8142
家,9703
嘉,3541
甲,5097
贾,2837
钾,7351
价,9741
驾,6611
架,1609
假,4532
嫁,2071
稼,9623
尖,0182
坚,8565
间,1935
肩,1020
艰,4796
兼,4795
监,9816
减,4865
剪,1270
检,3148
简,9642
碱,4399
见,7545
件,8810
建,0250
剑,9996
健,4211
舰,4853
渐,2069
践,1825
鉴,4737
键,1401
箭,7350
江,3180
姜,2579
将,7044
浆,5167
僵,0402
疆,8805
讲,4965
奖,7579
蒋,3939
匠,8126
降,1053
交,5053
郊,5908
娇,0105
浇,1292
骄,7733
胶,2725
焦,4806
礁,8010
角,7514
脚,9141
搅,7108
叫,7652
轿,9064
较,2710
教,7836
阶,4593
皆,5847
接,3079
揭,6759
街,9951
节,5125
劫,7899
杰,9322
洁,4027
结,6922
捷,8367
截,4669
竭,5828
姐,9224
解,6663
介,5046
戒,2253
届,8085
界,1178
借,4976
巾,0280
今,7810
斤,5594
金,6385
津,5508
筋,6781
仅,4923
紧,2316
锦,1956
尽,0229
劲,6589
近,2617
进,1500
晋,9189
浸,2926
禁,0064
京,9158
经,8001
茎,3009
惊,6622
晶,7830
睛,2743
精,4506
鲸,9979
井,3923
颈,0309
景,4365
警,8738
净,9165
径,2254
竞,3177
竟,7270
敬,6849
境,6985
静,6898
镜,8967
纠,7550
究,3080
九,4459
久,5729
酒,8222
旧,4081
救,5195
就,9667
舅,0262
居,4260
局,7318
菊,7394
橘,7549
举,7262
矩,3479
句,0175
巨,4182
拒,6685
具,3735
俱,8647
剧,7606
惧,6521
据,2780
距,6160
聚,4088
卷,7103
倦,4252
决,4017
绝,8132
觉,5722
掘,6549
嚼,6081
军,1571
君,2677
均,2306
菌,4999
俊,9112
峻,2341
卡,4978
开,3689
凯,7858
慨,2777
刊,9675
堪,7016
砍,7357
看,2438
康,6725
抗,3041
炕,6019
考,2328
烤,7154
靠,6068
科,8602
棵,4684
颗,5119
壳,9271
咳,7717
可,0470
渴,7512
克,1988
刻,6125
客,4351
课,0915
肯,0484
坑,3500
空,4558
孔,5086
恐,3250
控,8401
口,6036
扣,3670
枯,2877
哭,2256
苦,0848
库,8171
裤,8816
酷,7106
夸,0073
跨,4714
块,4140
快,5673
宽,4948
款,8964
狂,4436
况,3524
矿,6831
亏,9124
葵,5116
愧,1050
溃,3680
昆,9592
困,9669
扩,9230
括,8842
阔,2377
垃,0289
拉,3441
啦,2224
喇,6026
腊,9191
蜡,9730
辣,9412
来,6123
莱,2864
赖,1960
兰,2900
拦,6047
栏,0310
蓝,8152
篮,8479
览,4467
懒,0564
烂,6264
滥,3432
郎,1858
狼,8584
廊,3639
朗,2521
浪,2461
捞,0352
劳,7638
